sno,sequence,label,Response,,,,
1,i am still waiting on my card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
2,what can i do if my card still hasn't arrived after 2 weeks?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
3,i have been waiting over a week. is the card still coming?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
4,can i track my card while it is in the process of delivery?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
5,"how do i know if i will get my card, or if it is lost?",card_arrival,"wait for a mintues, we will check the delivery information",,,,
6,when did you send me my new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
7,do you have info about the card on delivery?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
8,what do i do if i still have not received my new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
9,does the package with my card have tracking?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
10,i ordered my card but it still isn't here,card_arrival,"wait for a mintues, we will check the delivery information",,,,
11,why has my new card still not come?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
12,"i still haven't received my card after two weeks, is it lost?",card_arrival,"wait for a mintues, we will check the delivery information",,,,
13,is there a way to track the delivery of my card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
14,it's been a week since i ordered my card and it's not here. please help?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
15,will i be able to track the card that was sent to me?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
16,how do i know when my new card is going to arrive?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
17,my new card has not been delivered to my home yet. what is going on?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
18,it's been a week since you issued me a card and i still didn't get it. should i keep waiting?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
19,"on the card that is coming, what's the tracking info?",card_arrival,"wait for a mintues, we will check the delivery information",,,,
20,what is the status of my card's delivery?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
21,have you sent out my card yet?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
22,my card isn't here yet.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
23,where is my new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
24,it's been a week since you sent my card and i still don't have it.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
25,how do i track the card you sent me?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
26,when will i get my new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
27,what is the expected delivery date for my card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
28,is there a tracking number for the card you sent me?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
29,i would like to track the card you sent to me.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
30,has my card been lost in delivery?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
31,my new card hasn't came in.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
32,where is the card i ordered 2 weeks ago?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
33,can i get an update on my replacement card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
34,how long does it take for a new card to ship?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
35,what's the tracking on the card you sent?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
36,i haven't received my card and am worried it is lost.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
37,my card still hasn't been delivered,card_arrival,"wait for a mintues, we will check the delivery information",,,,
38,i need to find out where the card is that i ordered.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
39,where is my credit card that was to be mailed?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
40,i ordered my card but it hasn't been delivered yet,card_arrival,"wait for a mintues, we will check the delivery information",,,,
41,am i able to track the card that was just sent to me?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
